time,value
2025-01-06T04:00:00.305495137Z,251
2025-01-06T04:00:10.509402772Z,252
2025-01-06T04:00:20.683562957Z,252
2025-01-06T04:00:30.883626784Z,252
2025-01-06T04:00:41.069879567Z,252
2025-01-06T04:00:51.256139088Z,251
2025-01-06T04:01:01.449535678Z,251
2025-01-06T04:01:11.65187984Z,251
2025-01-06T04:01:21.826924614Z,252
2025-01-06T04:01:32.01873552Z,252
2025-01-06T04:01:42.211462675Z,252
2025-01-06T04:01:52.403455655Z,252
2025-01-06T04:02:02.593682412Z,251
2025-01-06T04:02:12.78571024Z,251
2025-01-06T04:02:22.972290782Z,251
2025-01-06T04:02:33.165675809Z,251
2025-01-06T04:02:43.353852342Z,251
2025-01-06T04:02:53.544392389Z,251
2025-01-06T04:03:03.737595497Z,251
2025-01-06T04:03:13.925483558Z,252
2025-01-06T04:03:24.114734077Z,251
2025-01-06T04:03:34.314383077Z,251
2025-01-06T04:03:44.4961304Z,251
2025-01-06T04:03:54.690649231Z,251
2025-01-06T04:04:04.878072247Z,251
2025-01-06T04:04:15.06838375Z,251
2025-01-06T04:04:25.256876552Z,251
2025-01-06T04:04:35.446055952Z,251
2025-01-06T04:04:45.634642884Z,251
2025-01-06T04:04:55.829612442Z,249
2025-01-06T04:05:06.020218364Z,249
2025-01-06T04:05:16.201902198Z,249
2025-01-06T04:05:26.400302288Z,249
2025-01-06T04:05:36.584519253Z,249
2025-01-06T04:05:46.776399873Z,249
2025-01-06T04:05:56.958585228Z,249
2025-01-06T04:06:07.16697262Z,247
2025-01-06T04:06:17.339740934Z,247
2025-01-06T04:06:27.532992551Z,247
2025-01-06T04:06:37.717642455Z,247
2025-01-06T04:06:47.910120712Z,247
2025-01-06T04:06:58.092276731Z,247
2025-01-06T04:07:08.288550572Z,247
2025-01-06T04:07:18.473554606Z,246
2025-01-06T04:07:28.665918732Z,246
2025-01-06T04:07:38.853212462Z,246
2025-01-06T04:07:49.043407137Z,244
2025-01-06T04:07:59.231600972Z,246
2025-01-06T04:08:09.422866134Z,246
2025-01-06T04:08:19.611687825Z,246
2025-01-06T04:08:29.805709129Z,246
2025-01-06T04:08:39.991686852Z,246
2025-01-06T04:08:50.18263199Z,246
2025-01-06T04:09:00.370510263Z,246
2025-01-06T04:09:10.581713243Z,246
2025-01-06T04:09:20.748200936Z,246
2025-01-06T04:09:30.94188537Z,244
2025-01-06T04:09:41.127942248Z,246
2025-01-06T04:09:51.315997479Z,246
2025-01-06T04:10:01.505742595Z,244
2025-01-06T04:10:11.697701391Z,244
2025-01-06T04:10:21.888113715Z,244
2025-01-06T04:10:32.076623457Z,244
2025-01-06T04:10:42.271797423Z,244
2025-01-06T04:10:52.456763851Z,244
2025-01-06T04:11:02.654419646Z,244
2025-01-06T04:11:12.837702628Z,246
2025-01-06T04:11:23.026501971Z,244
2025-01-06T04:11:33.212783303Z,244
2025-01-06T04:11:43.404062629Z,244
2025-01-06T04:11:53.595176101Z,244
2025-01-06T04:12:03.796908763Z,246
2025-01-06T04:12:13.977906334Z,246
2025-01-06T04:12:24.170495972Z,246
2025-01-06T04:12:34.354053497Z,246
